url,date,traffic
https://twitter.com/unkochan1234567/status/1369315040491307013,2021-03-09T15:52:00+00:00,14174
https://twitter.com/katomayumi/status/1369483153639940101,2021-03-10T03:00:02+00:00,14044
https://twitter.com/tg290/status/1369278128086917126,2021-03-09T13:25:20+00:00,14042
https://twitter.com/marasy8/status/1369302818889347080,2021-03-09T15:03:27+00:00,13978
https://twitter.com/ONEOKROCK_japan/status/1369453845781377027,2021-03-10T01:03:34+00:00,13601
https://twitter.com/imgnaruto/status/1369357107347283970,2021-03-09T18:39:10+00:00,13584
https://twitter.com/70_pocky/status/1369252130830290945,2021-03-09T11:42:02+00:00,13075
https://twitter.com/Rut0__/status/1369497507571507205,2021-03-10T03:57:04+00:00,12803
https://twitter.com/uma_musu/status/1369484444071956481,2021-03-10T03:05:09+00:00,12721
https://twitter.com/p8HMIUHYW1KUF6c/status/1369467209701941249,2021-03-10T01:56:40+00:00,12509
https://twitter.com/Mimic_Tetra/status/1369260863748792321,2021-03-09T12:16:44+00:00,12466
https://twitter.com/A_SA_PA__N/status/1369413709337083913,2021-03-09T22:24:05+00:00,11799
https://twitter.com/p8HMIUHYW1KUF6c/status/1369504008113582080,2021-03-10T04:22:54+00:00,11654
https://twitter.com/sonchodice/status/1369468061024055299,2021-03-10T02:00:03+00:00,11389
